,firstname,lastname,current,sigma,mu
1364,Adam,ONDRA,"N(mu=3.755, sigma=0.221)",0.22071550953349553,3.7551867495573896
13040,Sorato,ANRAKU,"N(mu=3.709, sigma=0.408)",0.40795009445813296,3.7093429807294322
5135,Malcolm,SMITH,"N(mu=3.586, sigma=0.492)",0.49193379098669526,3.5862069873983655
2276,Tomoa,NARASAKI,"N(mu=3.585, sigma=0.188)",0.1878096965692988,3.584918961191169
1204,Kilian,FISCHHUBER,"N(mu=3.544, sigma=0.182)",0.1816164504310905,3.5442545961135457
11675,Mejdi,SCHALCK,"N(mu=3.478, sigma=0.294)",0.2940782540634217,3.478271572897679
412,Jérôme,MEYER,"N(mu=3.319, sigma=0.191)",0.19058123466254154,3.319434000976063
2272,Kokoro,FUJII,"N(mu=3.251, sigma=0.182)",0.18181388649020602,3.2508964694643336
4462,Pedro,PONS,"N(mu=3.246, sigma=0.351)",0.35147184061163955,3.2460075604056278
4839,Paul,ROBINSON,"N(mu=3.219, sigma=0.527)",0.5267095353078907,3.2190645717175617
4465,Salavat,RAKHMETOV,"N(mu=3.208, sigma=0.201)",0.201289140938205,3.2076907285137373
2052,Jongwon,CHON,"N(mu=3.199, sigma=0.185)",0.18463134491088493,3.199465261165089
5047,Mauro,CALIBANI,"N(mu=3.192, sigma=0.284)",0.2839786626490559,3.192258511371508
11490,Toby,ROBERTS,"N(mu=3.178, sigma=0.399)",0.39903014677407506,3.177730857111445
1213,David,LAMA,"N(mu=3.129, sigma=0.304)",0.30413930314599735,3.1292445045653046
79,Aleksey,RUBTSOV,"N(mu=3.114, sigma=0.181)",0.1814926950391076,3.113719276611362
2309,Yoshiyuki,OGATA,"N(mu=3.088, sigma=0.186)",0.18616703160492926,3.0876641009350867
53,Dmitrii,SHARAFUTDINOV,"N(mu=2.963, sigma=0.179)",0.17942480063416658,2.963083971335221
2101,Dohyun,LEE,"N(mu=2.946, sigma=0.297)",0.29710970401525344,2.9462935139671806
402,Daniel,DU LAC,"N(mu=2.920, sigma=0.195)",0.1952609733312567,2.920269660480823
2385,Rei,KAWAMATA,"N(mu=2.830, sigma=0.367)",0.3671628359169453,2.829562287538366
4467,Daniel,ANDRADA JIMENEZ,"N(mu=2.813, sigma=0.256)",0.2562760641051257,2.8125945354922797
1214,Jakob,SCHUBERT,"N(mu=2.808, sigma=0.182)",0.1817680833388802,2.8076124340958075
2257,Rei,SUGIMOTO,"N(mu=2.785, sigma=0.184)",0.1835265883879782,2.7850702273232377
4665,Chris,SHARMA,"N(mu=2.732, sigma=0.443)",0.44265388359620655,2.7322491044521593
547,Paul,JENFT,"N(mu=2.729, sigma=0.347)",0.34722314349241307,2.7292583801895827
3124,Thomas,TAUPORN,"N(mu=2.722, sigma=0.293)",0.2932530238829528,2.7224197520867732
3422,Jan,HOJER,"N(mu=2.715, sigma=0.179)",0.17932504114712092,2.7151360192882428
436,Guillaume,GLAIRON MONDET,"N(mu=2.712, sigma=0.179)",0.17924546216891152,2.7122504817003388
2337,Taisei,ISHIMATSU,"N(mu=2.698, sigma=0.264)",0.2643628421398002,2.698351917968958
13987,Ritsu,KAYOTANI,"N(mu=2.668, sigma=0.418)",0.41816445763091376,2.6682046734048384
3129,Cédric,LACHAT,"N(mu=2.666, sigma=0.224)",0.2242803126139673,2.6663491208080647
3131,Yannick,FLOHÉ,"N(mu=2.644, sigma=0.213)",0.21341214458893526,2.6443317889830134
60,Rustam,GELMANOV,"N(mu=2.631, sigma=0.178)",0.17766030737735472,2.6310396005447116
1707,Daniel,WOODS,"N(mu=2.628, sigma=0.256)",0.2561403933929919,2.6275213058958515
11871,Sohta,AMAGASA,"N(mu=2.613, sigma=0.459)",0.4586273297972744,2.612836150830762
4466,Frédéric,TUSCAN,"N(mu=2.608, sigma=0.271)",0.2712104255027099,2.608300267993034
392,Arnaud,PETIT,"N(mu=2.582, sigma=0.733)",0.7326046750539095,2.582281858175508
2332,Kai,HARADA,"N(mu=2.555, sigma=0.233)",0.23311502373190596,2.554815487517214
1988,Sam,MCQUEEN,"N(mu=2.514, sigma=1.015)",1.0152440385715513,2.5142574842971683
2307,Meichi,NARASAKI,"N(mu=2.452, sigma=0.226)",0.22573325706812788,2.452273103579635
4464,François,PETIT,"N(mu=2.436, sigma=0.376)",0.375617896778864,2.436415822061568
1467,Serik,KAZBEKOV,"N(mu=2.414, sigma=0.207)",0.20704466705627642,2.4142403812613824
2574,Alexander,MEGOS,"N(mu=2.409, sigma=0.227)",0.22724711954732454,2.4088976398144104
523,Mickael,MAWEM,"N(mu=2.371, sigma=0.189)",0.18931737202485452,2.3711453590788323
1778,Nathaniel,COLEMAN,"N(mu=2.355, sigma=0.221)",0.22137737502003133,2.3552340841816517
2291,Tomoaki,TAKATA,"N(mu=2.337, sigma=0.197)",0.19699334785303937,2.336710933153921
425,Stephane,JULIEN,"N(mu=2.331, sigma=0.191)",0.190547186156096,2.331363683057425
1138,Anze,PEHARC,"N(mu=2.318, sigma=0.199)",0.19855440479381237,2.31766614965195
849,Gabriele,MORONI,"N(mu=2.308, sigma=0.178)",0.17819216190790124,2.308278422313494
2254,Sachi,AMMA,"N(mu=2.308, sigma=0.422)",0.42162166716884164,2.3081100690667617
432,Gérome,POUVREAU,"N(mu=2.297, sigma=0.215)",0.21512776816304843,2.296740036187498
4469,Boyco,MARINOV,"N(mu=2.287, sigma=1.038)",1.037561010934215,2.286916022212165
688,Maximillian,MILNE,"N(mu=2.277, sigma=0.265)",0.264785362419054,2.277305290772241
470,Jeremy,BONDER,"N(mu=2.270, sigma=0.191)",0.1913525795509082,2.2701063191197095
14314,Daiki,SANO,"N(mu=2.256, sigma=0.418)",0.41818609910751786,2.2563938767422114
4783,Akito,MATSUSHIMA,"N(mu=2.253, sigma=0.261)",0.2606488445284226,2.2532781229870036
1256,Nicolai,UZNIK,"N(mu=2.230, sigma=0.246)",0.24583984509747683,2.2301686756837387
2255,Tsukuru,HORI,"N(mu=2.223, sigma=0.177)",0.17745036821814125,2.223045922298343
8958,Arthur,TERNANT,"N(mu=2.219, sigma=1.014)",1.0136458458770614,2.2193422597738865
4463,Christian,CORE,"N(mu=2.218, sigma=0.179)",0.17927766392432848,2.217522331786767
486,Alban,LEVIER,"N(mu=2.216, sigma=0.202)",0.20174647192615455,2.216021977608101
490,Manuel,CORNU,"N(mu=2.215, sigma=0.191)",0.19050062156196818,2.2151090190897884
4866,Victor,KOZLOV,"N(mu=2.214, sigma=0.425)",0.4246187519506024,2.2141894139331386
2265,Keita,WATABE,"N(mu=2.196, sigma=0.206)",0.20622074228551962,2.196226781503905
1356,Tomás,MRÁZEK,"N(mu=2.195, sigma=0.278)",0.2779439052913553,2.1952373944459045
2348,Yuji,INOUE,"N(mu=2.178, sigma=0.208)",0.2075358161559739,2.1781916883794388
4502,Lucio,GIUDICI,"N(mu=2.172, sigma=0.397)",0.3969838249478675,2.1722204305428834
1124,Jernej,KRUDER,"N(mu=2.150, sigma=0.175)",0.17533384948751923,2.14958577719184
4470,Alexandre,CHABOT,"N(mu=2.134, sigma=0.307)",0.3072288842016768,2.133511991925373
4773,Loïc,GAIDIOZ,"N(mu=2.132, sigma=0.181)",0.18079797238952394,2.1323985389396856
4471,Ludovic,LAURENCE,"N(mu=2.125, sigma=0.196)",0.19578311740173363,2.124890685303402
3577,Jorg,VERHOEVEN,"N(mu=2.113, sigma=0.181)",0.181489715237735,2.112657011643471
6922,Laurent,LAPORTE,"N(mu=2.109, sigma=1.021)",1.0207102627660607,2.109068728063707
2334,Keita,DOHI,"N(mu=2.107, sigma=0.245)",0.24537534441430808,2.1066106444435397
11535,Mathieu,TERNANT,"N(mu=2.102, sigma=0.362)",0.3622794768330709,2.102493143410904
5989,Julian,BAUTISTA,"N(mu=2.089, sigma=0.727)",0.7272817237924882,2.0893690421230224
1929,Colin,DUFFY,"N(mu=2.075, sigma=0.259)",0.2591377656056354,2.074723675216571
5869,Tatsuya,MURAOKA,"N(mu=2.069, sigma=0.597)",0.5971269834818396,2.069211302301317
4477,Timmy,FAIRFIELD,"N(mu=2.054, sigma=0.320)",0.32027285099032926,2.05364142336565
6902,Serguei,CHEMOULINKINE,"N(mu=2.030, sigma=0.463)",0.46344829429087114,2.030330458015965
2271,Naoki,SHIMATANI,"N(mu=2.015, sigma=0.728)",0.728237554479412,2.015373507502941
4581,Tomasz,OLEKSY,"N(mu=2.010, sigma=0.189)",0.1888859209601969,2.0099051093400893
696,Hamish,MCARTHUR,"N(mu=2.008, sigma=0.300)",0.29976659520858867,2.0076668093631374
1741,Sean,BAILEY,"N(mu=2.004, sigma=0.208)",0.20779643321557426,2.004208051173508
4774,Stewart,WATSON,"N(mu=1.993, sigma=0.202)",0.20215271737748422,1.9929458361165746
532,Sam,AVEZOU,"N(mu=1.989, sigma=0.289)",0.2893282043842313,1.9893836925512094
4781,Francois,KAISER,"N(mu=1.978, sigma=0.246)",0.24588599780456746,1.9782670235007052
3111,David,FIRNENBURG,"N(mu=1.955, sigma=0.263)",0.26337859835784366,1.9549904216075273
4716,Klemen,BECAN,"N(mu=1.937, sigma=0.186)",0.1864845628836788,1.9373435528633685
373,Hannes,VAN DUYSEN,"N(mu=1.930, sigma=0.328)",0.32814729932313597,1.9295096510866148
441,Thomas,CALEYRON,"N(mu=1.929, sigma=0.187)",0.1871013994093714,1.9287816638505175
487,Nicolas,PELORSON,"N(mu=1.922, sigma=0.386)",0.38642813152430816,1.921606919690028
574,Leo,FAVOT,"N(mu=1.914, sigma=0.716)",0.7157281283867452,1.9138109886125594
4776,Mykhaylo,SHALAGIN,"N(mu=1.912, sigma=0.186)",0.18632636086397472,1.9119413359345365
2482,James,KASSAY,"N(mu=1.885, sigma=0.225)",0.2245700966955518,1.8845408519016857
2301,Yuki,HADA,"N(mu=1.883, sigma=0.387)",0.38749216563653743,1.8831992462571578
11502,Jack,MACDOUGALL,"N(mu=1.862, sigma=0.456)",0.455859849427393,1.8624097628798062
6276,Philip,RATAJCZAK,"N(mu=1.825, sigma=1.006)",1.0061526082628687,1.8249044739355185
6053,Arjan,DE KOCK,"N(mu=1.824, sigma=1.004)",1.0037393815147242,1.824395734848744
2266,Ryuichi,MURAI,"N(mu=1.823, sigma=0.327)",0.32727160879011474,1.8232833952488157
4726,Matthias,MÜLLER,"N(mu=1.818, sigma=0.186)",0.18584038821800156,1.8177780475250223
67,Vadim,TIMONOV,"N(mu=1.816, sigma=0.220)",0.22000484792167507,1.8164773432298047
318,Simon,LORENZI,"N(mu=1.799, sigma=0.220)",0.21998283813298314,1.799216077127115
4505,Rafael,CABANE,"N(mu=1.796, sigma=1.018)",1.017603801127686,1.7962343413904105
