,firstname,lastname,current,sigma,mu
4529,Stéphanie,BODET,"N(mu=5.861, sigma=0.647)",0.6473945254791185,5.861192530411007
1147,Janja,GARNBRET,"N(mu=5.835, sigma=0.290)",0.29031936212360604,5.835322277376518
4530,Liv,SANSOZ,"N(mu=4.536, sigma=0.897)",0.8969517544157771,4.535556048110789
2253,Akiyo,NOGUCHI,"N(mu=4.530, sigma=0.186)",0.18596565630684603,4.530107119388697
636,Shauna,COXSEY,"N(mu=4.418, sigma=0.195)",0.1954862952801339,4.417616148352866
430,Sandrine,LEVET,"N(mu=4.332, sigma=0.215)",0.21459085652101792,4.331667955701885
4449,Elena,CHOUMILOVA,"N(mu=4.297, sigma=0.324)",0.3236772721882703,4.296638658389398
1803,Natalia,GROSSMAN,"N(mu=4.171, sigma=0.259)",0.2594152743758974,4.17120263412697
1211,Anna,STÖHR,"N(mu=4.121, sigma=0.184)",0.18350106777940192,4.1212631854741755
5241,Lauren,LEE,"N(mu=4.083, sigma=1.128)",1.1275378347771365,4.083239767900133
2294,Miho,NONAKA,"N(mu=4.048, sigma=0.189)",0.18935477071598583,4.048025371620023
1710,Alex,PUCCIO,"N(mu=3.919, sigma=0.199)",0.1987987275908524,3.919261310047554
4536,Josune,BERECIARTU URRUZOLA,"N(mu=3.754, sigma=0.819)",0.818742736791952,3.7535830960676853
11462,Oriane,BERTONE,"N(mu=3.710, sigma=0.288)",0.2879851346845816,3.70954295133041
2823,Juliane,WURM,"N(mu=3.415, sigma=0.190)",0.19038931774448237,3.415492854091088
1119,Natalija,GROS,"N(mu=3.370, sigma=0.210)",0.20953626571419837,3.3704641388840106
4756,Olga,SHALAGINA,"N(mu=3.284, sigma=0.210)",0.20951683709442867,3.2844248121041444
7115,Cristina,GONZALEZ,"N(mu=3.244, sigma=1.123)",1.1228068118506587,3.243543912938689
454,Melissa,LE NEVE,"N(mu=3.241, sigma=0.185)",0.1852898768385832,3.241408315259356
7082,Gaelle,GOURIOU,"N(mu=3.239, sigma=0.446)",0.4456768837244997,3.238990753513534
1768,Megan,MASCARENAS,"N(mu=3.238, sigma=0.291)",0.29144648742668505,3.238049220788052
43,Yulia,ABRAMCHUK,"N(mu=3.210, sigma=0.183)",0.18342399778693746,3.2097826574335855
5280,Juliette,DANION,"N(mu=3.194, sigma=0.203)",0.20329695312188797,3.193957791523722
1811,Brooke,RABOUTOU,"N(mu=3.149, sigma=0.227)",0.22693814026553627,3.149456498282909
4720,Marietta,UHDEN,"N(mu=3.149, sigma=0.558)",0.5578689663983301,3.1493966869665644
3840,Stasa,GEJO,"N(mu=3.122, sigma=0.198)",0.19753068037448293,3.122444519453948
1712,Sasha,DIGIULIAN,"N(mu=3.110, sigma=0.751)",0.7513977080064786,3.1102352202475805
2357,Futaba,ITO,"N(mu=3.067, sigma=0.215)",0.21480156705314413,3.0665893892840446
6583,Yulia,INOZEMTSEVA,"N(mu=3.063, sigma=0.531)",0.5311103593469471,3.0625817047094457
6237,Therese,JOHANSEN,"N(mu=3.058, sigma=0.595)",0.5948258054074099,3.0581848065341366
4533,Annatina,SCHULTZ,"N(mu=3.057, sigma=0.753)",0.7532041129371133,3.057356780593855
41,Olga,BIBIK,"N(mu=3.038, sigma=0.182)",0.18226983999097388,3.037941648128186
4453,Delphine,MARTIN,"N(mu=3.038, sigma=0.315)",0.3151559358801802,3.037816764530529
469,Fanny,GIBERT,"N(mu=3.033, sigma=0.183)",0.18268664312236216,3.0325866836662647
11620,Luce,DOUADY,"N(mu=3.013, sigma=0.734)",0.7341583686671324,3.013262274566506
2263,Momoka,ODA,"N(mu=3.001, sigma=0.233)",0.2330071135067507,3.0011162681241803
13021,Anastasia,SANDERS,"N(mu=2.991, sigma=0.422)",0.4223627433418913,2.991412495521464
12348,Martina,BURŠÍKOVÁ,"N(mu=2.984, sigma=0.720)",0.7204838935892577,2.9838925760514527
4450,Myriam,MOTTEAU,"N(mu=2.965, sigma=0.251)",0.25110970691561807,2.964613124719609
6794,Lise,NOEL,"N(mu=2.954, sigma=0.471)",0.47136593065823235,2.9542442233757806
309,Chloé,GRAFTIAUX,"N(mu=2.943, sigma=0.202)",0.20240881866195762,2.9434546028003483
4484,Vera,KOTASOVA-KOSTRUHOVA,"N(mu=2.941, sigma=0.239)",0.23947801331208712,2.941385846793408
2380,Ai,MORI,"N(mu=2.939, sigma=0.369)",0.3690748805626591,2.939440768837514
1226,Jessica,PILZ,"N(mu=2.930, sigma=0.210)",0.2095737089542441,2.93049778172069
4755,Alex,JOHNSON,"N(mu=2.917, sigma=0.212)",0.2117521539220443,2.9165328477824333
5798,Paige,CLAASSEN,"N(mu=2.900, sigma=1.014)",1.0139040802981527,2.8999009294780342
1122,Mina,MARKOVIC,"N(mu=2.852, sigma=0.193)",0.19268957794206035,2.852225742474737
58,Yana,CHERESHNEVA,"N(mu=2.811, sigma=0.235)",0.23544043142741186,2.8108809453932624
5039,Emilie,POUGET,"N(mu=2.786, sigma=0.401)",0.40132884431390364,2.7862645019223695
1219,Johanna,ERNST,"N(mu=2.759, sigma=0.423)",0.42329650504049,2.7589914947890932
1469,Nataliya,PERLOVA,"N(mu=2.747, sigma=0.201)",0.20089333592596997,2.7465946714697393
5129,Lisa,RANDS,"N(mu=2.745, sigma=0.326)",0.32590000176379524,2.744850950255454
4538,Iwona,GRONKIEWICZ-MARCISZ,"N(mu=2.703, sigma=0.324)",0.3243330783702947,2.703050869838078
1207,Angela,EITER,"N(mu=2.699, sigma=0.429)",0.42942150337321716,2.69881439602957
5109,Venera,CHERESHNEVA,"N(mu=2.695, sigma=0.323)",0.32265287792501224,2.694784110418649
12451,Selma,ELHADJ MIMOUNE,"N(mu=2.689, sigma=0.419)",0.4192067894965659,2.6892506292892473
947,Camilla,MORONI,"N(mu=2.674, sigma=0.253)",0.25258073939393816,2.673599992960345
3246,Petra,KLINGLER,"N(mu=2.638, sigma=0.177)",0.17748102599179216,2.6382209986334173
446,Marine,THÉVENET,"N(mu=2.624, sigma=0.276)",0.2755847340277527,2.6242156288317915
13596,Zhilu,LUO,"N(mu=2.624, sigma=0.346)",0.346248779509696,2.6238566453507417
428,Corinne,THEROUX,"N(mu=2.602, sigma=0.214)",0.21402059034942195,2.6018212955273454
4537,Isabelle,BIHR,"N(mu=2.598, sigma=0.358)",0.35849182534186835,2.598461088334791
2080,Chaehyun,SEO,"N(mu=2.554, sigma=0.282)",0.28249282697309147,2.5535089457509903
4017,Ayala,KEREM,"N(mu=2.547, sigma=0.266)",0.2661241594732978,2.5467577258580496
5208,Fanny,ROGEAUX,"N(mu=2.545, sigma=0.310)",0.31026967146103185,2.545247901027973
1474,Svitlana,TUZHYLINA,"N(mu=2.543, sigma=0.466)",0.46557623800517134,2.543091579616821
1209,Katharina,SAURWEIN,"N(mu=2.528, sigma=0.178)",0.17761163776362765,2.5276840065987076
1160,Lucka,RAKOVEC,"N(mu=2.514, sigma=0.302)",0.3018079211409408,2.51368406961226
445,Charlotte,DURIF,"N(mu=2.508, sigma=0.371)",0.37083167482706325,2.507638685869542
5040,Emilie,ABGRALL,"N(mu=2.507, sigma=0.227)",0.22715452523292487,2.507119492814583
4553,Esther,CRUZ MONTALBAN,"N(mu=2.487, sigma=0.516)",0.516349255206562,2.487172806675055
5159,Olga,OCHTCHEPKOVA,"N(mu=2.476, sigma=1.023)",1.022551991653172,2.4761628396503483
1468,Olena,RYEPKO,"N(mu=2.474, sigma=0.527)",0.5272028840490198,2.474087553589445
4563,Giulia,GIAMMARCO,"N(mu=2.459, sigma=0.253)",0.2530539228234797,2.458594393774017
4761,Anna,GALLYAMOVA,"N(mu=2.458, sigma=0.212)",0.2123121932572659,2.458177601142612
14008,Melody,SEKIKAWA,"N(mu=2.457, sigma=0.418)",0.4179962064446446,2.4567389926943766
4532,Renata,PISZCZEK,"N(mu=2.435, sigma=0.308)",0.3076548465544434,2.43462872215317
13992,Mashiro,KUZUU,"N(mu=2.422, sigma=1.003)",1.0034809134391245,2.4223908004242785
44,Olga,IAKOVLEVA,"N(mu=2.402, sigma=0.225)",0.2249009911551817,2.40184808024465
4757,Maud,ANSADE,"N(mu=2.394, sigma=0.200)",0.20001356224013475,2.3940935042935823
1130,Katja,DEBEVEC,"N(mu=2.393, sigma=0.190)",0.18956870610039153,2.3929481765894
1120,Katja,VIDMAR,"N(mu=2.388, sigma=0.224)",0.2237607993545834,2.388246561752103
427,Cecile,AVEZOU,"N(mu=2.366, sigma=0.198)",0.19788862409143285,2.365673261136654
5879,Angela,PAYNE,"N(mu=2.344, sigma=0.285)",0.284957057108162,2.343585679493335
5493,Olga,BEZHKO,"N(mu=2.312, sigma=0.318)",0.31773807397011095,2.312231974779202
2501,Oceania,MACKENZIE,"N(mu=2.311, sigma=0.258)",0.2578303071783492,2.3107527460453805
2035,Jain,KIM,"N(mu=2.298, sigma=0.191)",0.19057214187857377,2.2977746735537057
848,Jenny,LAVARDA,"N(mu=2.297, sigma=0.186)",0.18596466630219582,2.296877273680366
635,Michaela,TRACY,"N(mu=2.282, sigma=0.229)",0.22941706060562927,2.2819066458905515
439,Anne-Laure,CHEVRIER,"N(mu=2.236, sigma=0.190)",0.19044948553577562,2.2364484964850466
620,Zélia,AVEZOU,"N(mu=2.225, sigma=0.390)",0.39049712007426207,2.2246375199473145
13321,Mia,AOYAGI,"N(mu=2.219, sigma=0.313)",0.3129369101284393,2.218629723310256
4758,Alexandra,BALAKIREVA,"N(mu=2.213, sigma=0.227)",0.2273948504401919,2.212860404780757
6177,Ana,TIRIPA,"N(mu=2.204, sigma=1.010)",1.0098627996363876,2.20360009153379
2013,Monika,RETSCHY,"N(mu=2.197, sigma=0.187)",0.18662634757091592,2.1968236076031533
4455,Chloé,MINORET,"N(mu=2.189, sigma=0.340)",0.339913731701785,2.189493903266532
1486,Ievgeniia,KAZBEKOVA,"N(mu=2.148, sigma=0.208)",0.2078245656542775,2.147656539597963
1161,Mia,KRAMPL,"N(mu=2.133, sigma=0.264)",0.26398039076677654,2.133172709460885
2047,Sol,SA,"N(mu=2.132, sigma=0.183)",0.18290686180066684,2.1316834122938024
