,firstname,lastname,current,sigma,mu
13040,Sorato,ANRAKU,"N(mu=4.133, sigma=0.460)",0.459859671976201,4.133473948314411
4665,Chris,SHARMA,"N(mu=4.019, sigma=0.497)",0.49689809579377253,4.019306777150036
4470,Alexandre,CHABOT,"N(mu=3.925, sigma=0.197)",0.19736208105203024,3.9249316802852947
1364,Adam,ONDRA,"N(mu=3.911, sigma=0.201)",0.20113099500508932,3.9110294240105605
1214,Jakob,SCHUBERT,"N(mu=3.766, sigma=0.185)",0.18541568633249025,3.76591183157291
2254,Sachi,AMMA,"N(mu=3.713, sigma=0.188)",0.1882968922180752,3.713046496120187
1356,Tomás,MRÁZEK,"N(mu=3.487, sigma=0.183)",0.182752416359391,3.487410351505273
3129,Cédric,LACHAT,"N(mu=3.353, sigma=0.184)",0.18408432917731468,3.3532634914168478
772,Patxi,USOBIAGA LAKUNZA,"N(mu=3.306, sigma=0.183)",0.1828430481374719,3.3056852823230685
2247,Yuji,HIRAYAMA,"N(mu=3.259, sigma=0.186)",0.18624363776453218,3.2585981018149583
1213,David,LAMA,"N(mu=3.253, sigma=0.213)",0.21340288496606838,3.252559256516194
406,Didier,RABOUTOU,"N(mu=3.130, sigma=0.469)",0.46869228259075935,3.129732409909331
6465,François,LOMBARD,"N(mu=3.130, sigma=0.209)",0.20863335380264145,3.129547522678567
4464,François,PETIT,"N(mu=3.111, sigma=0.183)",0.1827824665104481,3.1114686006414733
392,Arnaud,PETIT,"N(mu=3.103, sigma=0.198)",0.19821812741033956,3.1027095338756823
6463,Jean-Baptiste,TRIBOUT,"N(mu=3.082, sigma=0.211)",0.2105741433354797,3.081519751662537
11490,Toby,ROBERTS,"N(mu=2.977, sigma=0.405)",0.4046500449948099,2.9774059331473275
2574,Alexander,MEGOS,"N(mu=2.930, sigma=0.219)",0.2193226149864394,2.930331967288029
432,Gérome,POUVREAU,"N(mu=2.918, sigma=0.198)",0.19812884306051987,2.918216187143402
845,Flavio,CRESPI,"N(mu=2.907, sigma=0.180)",0.18000615758326588,2.9069413262321535
4593,François,LEGRAND,"N(mu=2.831, sigma=0.184)",0.1842366229079051,2.830755877697239
3577,Jorg,VERHOEVEN,"N(mu=2.754, sigma=0.178)",0.17813202677549295,2.754225667104587
6488,Elie,CHEVIEUX,"N(mu=2.711, sigma=0.195)",0.19477669301215775,2.7109051355832854
4504,François,AUCLAIR,"N(mu=2.700, sigma=0.206)",0.20562588319477887,2.7002653546346176
6472,Guido,KÖSTERMEYER,"N(mu=2.677, sigma=0.284)",0.284064279076613,2.676918675910197
13986,Shion,OMATA,"N(mu=2.664, sigma=0.432)",0.43164527996990665,2.6643149106330273
