,firstname,lastname,current,sigma,mu
6522,Robyn,ERBESFIELD,"N(mu=5.512, sigma=0.266)",0.2661795158072799,5.5116560440358935
6521,Susi,GOOD,"N(mu=5.395, sigma=0.299)",0.29872877615114496,5.394750080019851
6518,Isabelle,PATISSIER,"N(mu=5.068, sigma=0.283)",0.28275247424007294,5.067538216052082
1147,Janja,GARNBRET,"N(mu=4.946, sigma=0.222)",0.22211884797120782,4.945889561729552
6519,Lynn,HILL,"N(mu=4.490, sigma=0.350)",0.3499883894565255,4.490164314918909
2380,Ai,MORI,"N(mu=4.257, sigma=0.341)",0.341122157504701,4.256761506934674
2080,Chaehyun,SEO,"N(mu=4.185, sigma=0.259)",0.25908049421180074,4.185084092875852
4530,Liv,SANSOZ,"N(mu=3.925, sigma=0.222)",0.2219410427090508,3.9253288793453445
1219,Johanna,ERNST,"N(mu=3.803, sigma=0.223)",0.22305802644631414,3.803059740422697
1207,Angela,EITER,"N(mu=3.699, sigma=0.187)",0.18706874022290185,3.699238887105802
6520,Nanette,RAYBAUD,"N(mu=3.570, sigma=0.244)",0.2442257131970443,3.570276302272507
2035,Jain,KIM,"N(mu=3.463, sigma=0.182)",0.18157924183999036,3.4629149423637204
315,Anak,VERHOEVEN,"N(mu=3.335, sigma=0.194)",0.1935285379794327,3.335346189555279
1226,Jessica,PILZ,"N(mu=3.312, sigma=0.188)",0.18842129118584955,3.311789991172952
7064,Katie,BROWN,"N(mu=3.226, sigma=0.554)",0.5542577128685433,3.2263239358536406
430,Sandrine,LEVET,"N(mu=3.012, sigma=0.190)",0.1895151420871353,3.0120496211737655
2253,Akiyo,NOGUCHI,"N(mu=2.999, sigma=0.186)",0.18598856932457306,2.9994136544948593
2381,Natsuki,TANII,"N(mu=2.913, sigma=0.239)",0.23884780464847355,2.91293455644099
6533,Natalie,RICHER,"N(mu=2.883, sigma=0.203)",0.20316307601037914,2.8830265083148903
2263,Momoka,ODA,"N(mu=2.875, sigma=0.210)",0.21010216773317222,2.8754876981673134
1122,Mina,MARKOVIC,"N(mu=2.849, sigma=0.178)",0.1783513785442829,2.8487353162688818
306,Muriel,SARKANY,"N(mu=2.809, sigma=0.178)",0.17848891503555223,2.8092146326295557
6523,Anna,IBANEZ-TUDORAS,"N(mu=2.778, sigma=0.291)",0.291312846057714,2.778179602639392
6728,Laurence,GUYON,"N(mu=2.742, sigma=0.240)",0.24013162657731268,2.742102452742647
1812,Ashima,SHIRAISHI,"N(mu=2.740, sigma=0.272)",0.27224316293422646,2.739642091718501
1121,Maja,STREMFELJ,"N(mu=2.730, sigma=0.179)",0.1788832536870677,2.7302667540051626
13041,Nonoha,KUME,"N(mu=2.717, sigma=0.470)",0.47040532155951387,2.7174341952182184
1811,Brooke,RABOUTOU,"N(mu=2.713, sigma=0.254)",0.25415616890604104,2.7129853793280887
6524,Catherine,GLOESENER,"N(mu=2.706, sigma=0.404)",0.4037461772930265,2.706010901391614
4529,Stéphanie,BODET,"N(mu=2.696, sigma=0.215)",0.2153646476771442,2.695758368350391
1119,Natalija,GROS,"N(mu=2.684, sigma=0.181)",0.1810496374194657,2.6841764536363306
1803,Natalia,GROSSMAN,"N(mu=2.575, sigma=0.268)",0.26791160863679003,2.5748281266823505
4540,Elena,OVTCHINNIKOVA,"N(mu=2.492, sigma=0.204)",0.20406293013748505,2.4918995932873536
438,Caroline,CIAVALDINI,"N(mu=2.491, sigma=0.180)",0.18012205798987085,2.4911454670161253
1153,Vita,LUKAN,"N(mu=2.439, sigma=0.202)",0.20238217567842498,2.4393123310612723
928,Laura,ROGORA,"N(mu=2.413, sigma=0.205)",0.2052336442895431,2.413464185143488
1161,Mia,KRAMPL,"N(mu=2.375, sigma=0.199)",0.1993464822672364,2.375385936766443
1712,Sasha,DIGIULIAN,"N(mu=2.298, sigma=0.334)",0.3343472032131144,2.2982086864775924
455,Hélène,JANICOT,"N(mu=2.275, sigma=0.178)",0.17801981501813943,2.2749598884781674
6727,Marie,GUILLET,"N(mu=2.269, sigma=0.233)",0.23300788537897896,2.2693668183373297
4449,Elena,CHOUMILOVA,"N(mu=2.268, sigma=0.218)",0.217750502656627,2.267558293819485
445,Charlotte,DURIF,"N(mu=2.248, sigma=0.180)",0.1795401564698635,2.2479505470977994
6577,Catherine,BARDON,"N(mu=2.204, sigma=0.735)",0.7347145933166854,2.203889082577417
4720,Marietta,UHDEN,"N(mu=2.111, sigma=0.186)",0.186447630195908,2.111367421923412
5039,Emilie,POUGET,"N(mu=2.097, sigma=0.291)",0.29146563251196816,2.0970766519030515
6527,Andrea,EISENHUT,"N(mu=2.097, sigma=0.320)",0.3196764034779056,2.096619874482555
4486,Martina,CUFAR,"N(mu=2.075, sigma=0.180)",0.1796131219522277,2.0746404064858393
2251,Yuka,KOBAYASHI,"N(mu=2.059, sigma=0.177)",0.17742798432871854,2.059281099485838
1160,Lucka,RAKOVEC,"N(mu=2.041, sigma=0.214)",0.2142599332412414,2.040782956761184
6526,Isabelle,DORSIMOND,"N(mu=2.010, sigma=0.307)",0.30654555952683066,2.010464336624656
6583,Yulia,INOZEMTSEVA,"N(mu=2.006, sigma=0.221)",0.22068210036382757,2.00568982151764
636,Shauna,COXSEY,"N(mu=2.004, sigma=0.513)",0.5133112485370215,2.0036438946582305
6525,Agnès,BRARD,"N(mu=2.002, sigma=0.335)",0.33527684903523275,2.0019826020721028
2369,Natsumi,HIRANO,"N(mu=1.986, sigma=0.331)",0.3312269599619444,1.986364015074458
6866,Mia,AXON,"N(mu=1.980, sigma=0.350)",0.34985232380031495,1.9799834156007121
6578,Paola,PONS,"N(mu=1.931, sigma=0.730)",0.7302795159594642,1.930843537364549
1224,Magdalena,RÖCK,"N(mu=1.928, sigma=0.183)",0.1832182797737535,1.9280271636236972
11620,Luce,DOUADY,"N(mu=1.921, sigma=0.723)",0.7226692405945155,1.920880844733238
3009,Yuetong,ZHANG,"N(mu=1.909, sigma=0.275)",0.27471340506156017,1.909200558205991
466,Julia,CHANOURDIE,"N(mu=1.908, sigma=0.185)",0.18534487253901985,1.907679447987413
5109,Venera,CHERESHNEVA,"N(mu=1.899, sigma=0.202)",0.20155480161165326,1.8993155826118406
4756,Olga,SHALAGINA,"N(mu=1.882, sigma=0.209)",0.20929905159386078,1.8820508937496554
6580,Claudine,TRECOURT,"N(mu=1.874, sigma=1.021)",1.021210427449699,1.8740054678489018
7171,Nadejda,VERCHININA,"N(mu=1.869, sigma=1.027)",1.026585167527488,1.868770207399365
6687,Helen,KOLIADA,"N(mu=1.847, sigma=1.026)",1.025690237021153,1.8469024670274614
58,Yana,CHERESHNEVA,"N(mu=1.823, sigma=0.184)",0.18408024663078085,1.8230611073180936
4722,Katrin,SEDLMAYER,"N(mu=1.819, sigma=0.265)",0.2654048985431545,1.818786737780926
4535,Alexandra,EYER,"N(mu=1.817, sigma=0.177)",0.17700224420855354,1.8170866464013036
1222,Katharina,POSCH,"N(mu=1.817, sigma=0.178)",0.1778572786655927,1.816615236579649
11783,Ryu,NAKAGAWA,"N(mu=1.813, sigma=0.254)",0.2537054570925834,1.8133952517507461
642,Molly,THOMPSON-SMITH,"N(mu=1.805, sigma=0.192)",0.1917076520560121,1.8054453431207225
4651,Akiko,OOIWA,"N(mu=1.795, sigma=0.397)",0.39739601742901987,1.7945150738193234
1753,Margo,HAYES,"N(mu=1.792, sigma=0.347)",0.3466167568493068,1.7924001587064275
6664,Angela,STRIECKS,"N(mu=1.768, sigma=0.267)",0.2672925012766568,1.7682604449907615
6612,Bobbie,BENSMAN,"N(mu=1.765, sigma=0.597)",0.5967996266311462,1.764799223295287
4960,Matilda,SÖDERLUND,"N(mu=1.758, sigma=0.371)",0.3706468989682589,1.75832228561557
68,Dinara,FAKHRITDINOVA,"N(mu=1.707, sigma=0.183)",0.18288861329655895,1.7070250082689031
2278,Mei,KOTAKE,"N(mu=1.700, sigma=0.227)",0.22711899568467642,1.7003905902514687
6588,Karin,BLESS-REITH,"N(mu=1.697, sigma=0.319)",0.31864174782830007,1.696904886948937
462,Manon,HILY,"N(mu=1.690, sigma=0.212)",0.21191344529473424,1.690149496825338
1210,Christine,SCHRANZ,"N(mu=1.686, sigma=0.177)",0.1768273594291596,1.686113358161905
4533,Annatina,SCHULTZ,"N(mu=1.678, sigma=0.207)",0.2067115517306248,1.6780773004429852
1203,Bettina,SCHÖPF,"N(mu=1.643, sigma=0.183)",0.18271279715517139,1.6429961722781898
6582,Raffaella,VALSECCHI,"N(mu=1.615, sigma=0.286)",0.28577870011226203,1.615229211617674
5464,Ekaterina,IAEMOURD,"N(mu=1.609, sigma=0.395)",0.39534249021147655,1.6091002129361092
427,Cecile,AVEZOU,"N(mu=1.600, sigma=0.203)",0.20257637549788352,1.5998628736218994
4455,Chloé,MINORET,"N(mu=1.587, sigma=0.191)",0.19060564625979023,1.5866342017923
6549,Karin,KAVOUSSI,"N(mu=1.581, sigma=0.243)",0.24348687039875686,1.5814973277849378
6846,Catherine,MIQUEL,"N(mu=1.573, sigma=0.594)",0.5937560607303071,1.5732997914422795
442,Alizée,DUFRAISSE,"N(mu=1.571, sigma=0.208)",0.2079298259910152,1.5708112625651625
