,firstname,lastname,current,sigma,mu
1364,Adam,ONDRA,"N(mu=4.226, sigma=0.221)",0.22082403007452842,4.226337736713721
13040,Sorato,ANRAKU,"N(mu=4.159, sigma=0.408)",0.4079774148025481,4.158589448447389
1204,Kilian,FISCHHUBER,"N(mu=4.123, sigma=0.194)",0.1938247161571826,4.1230288626372325
2276,Tomoa,NARASAKI,"N(mu=4.040, sigma=0.188)",0.18782784678504352,4.040242258393949
11675,Mejdi,SCHALCK,"N(mu=3.929, sigma=0.294)",0.2941028966541239,3.929156599350674
1213,David,LAMA,"N(mu=3.929, sigma=0.389)",0.3889524539082056,3.928632706202379
2272,Kokoro,FUJII,"N(mu=3.707, sigma=0.182)",0.18182596473494217,3.7071416495753597
4839,Paul,ROBINSON,"N(mu=3.698, sigma=0.528)",0.5281705036956472,3.697839069765271
2052,Jongwon,CHON,"N(mu=3.655, sigma=0.185)",0.18464220061665537,3.6552903266665124
11490,Toby,ROBERTS,"N(mu=3.626, sigma=0.399)",0.3990445759056509,3.626212374871671
79,Aleksey,RUBTSOV,"N(mu=3.572, sigma=0.182)",0.1815299382714915,3.571800384898779
2309,Yoshiyuki,OGATA,"N(mu=3.541, sigma=0.186)",0.1861783578099289,3.541002215525961
53,Dmitrii,SHARAFUTDINOV,"N(mu=3.452, sigma=0.182)",0.18248336157949996,3.4524105225387918
3129,Cédric,LACHAT,"N(mu=3.414, sigma=0.256)",0.2555022024068127,3.414468819929305
2101,Dohyun,LEE,"N(mu=3.393, sigma=0.297)",0.2971190881683927,3.3929639992923275
2385,Rei,KAWAMATA,"N(mu=3.279, sigma=0.367)",0.36718804088780965,3.2785244110743834
1214,Jakob,SCHUBERT,"N(mu=3.264, sigma=0.182)",0.18178292195327264,3.263877459324075
412,Jérôme,MEYER,"N(mu=3.255, sigma=0.731)",0.7311588927294808,3.2548977872344755
2257,Rei,SUGIMOTO,"N(mu=3.241, sigma=0.184)",0.18355051992320895,3.2408759668630833
436,Guillaume,GLAIRON MONDET,"N(mu=3.227, sigma=0.182)",0.1823221664019598,3.227119598240476
1707,Daniel,WOODS,"N(mu=3.204, sigma=0.271)",0.2708166393987028,3.2041608473828704
3124,Thomas,TAUPORN,"N(mu=3.192, sigma=0.293)",0.2934626553082245,3.1915900494911393
547,Paul,JENFT,"N(mu=3.179, sigma=0.347)",0.34724170307628643,3.1789233589531527
3422,Jan,HOJER,"N(mu=3.172, sigma=0.179)",0.17934290875851946,3.172479502061725
60,Rustam,GELMANOV,"N(mu=3.166, sigma=0.180)",0.1797171749078513,3.166358726683398
2337,Taisei,ISHIMATSU,"N(mu=3.152, sigma=0.264)",0.26437881292926146,3.1524944293188404
4665,Chris,SHARMA,"N(mu=3.141, sigma=1.025)",1.0252276370764002,3.140686367477592
13987,Ritsu,KAYOTANI,"N(mu=3.117, sigma=0.418)",0.4181699340395879,3.116870653896492
3131,Yannick,FLOHÉ,"N(mu=3.095, sigma=0.213)",0.21342091426363463,3.0953598930213624
11871,Sohta,AMAGASA,"N(mu=3.063, sigma=0.459)",0.4586481209477614,3.0625208784383027
2332,Kai,HARADA,"N(mu=3.008, sigma=0.233)",0.23313098729983334,3.0084739382964147
1356,Tomás,MRÁZEK,"N(mu=2.996, sigma=1.009)",1.0093681659862577,2.9961142617165497
1988,Sam,MCQUEEN,"N(mu=2.954, sigma=1.015)",1.0153309483297275,2.953863281073682
2307,Meichi,NARASAKI,"N(mu=2.904, sigma=0.226)",0.2257464988670165,2.9036529867603558
849,Gabriele,MORONI,"N(mu=2.874, sigma=0.186)",0.18639486290608429,2.8740540764604114
2574,Alexander,MEGOS,"N(mu=2.862, sigma=0.227)",0.22726688566465883,2.8615173576661865
523,Mickael,MAWEM,"N(mu=2.823, sigma=0.189)",0.18932586543864582,2.8234315475206486
1778,Nathaniel,COLEMAN,"N(mu=2.809, sigma=0.221)",0.2213967275341544,2.808700095955839
2291,Tomoaki,TAKATA,"N(mu=2.791, sigma=0.197)",0.1970070129122755,2.7908617060166714
1138,Anze,PEHARC,"N(mu=2.769, sigma=0.199)",0.19856303902053563,2.7687604172717784
2254,Sachi,AMMA,"N(mu=2.742, sigma=0.422)",0.42197106824937697,2.7420550919747018
470,Jeremy,BONDER,"N(mu=2.731, sigma=0.191)",0.19139737367314477,2.731449174723053
688,Maximillian,MILNE,"N(mu=2.727, sigma=0.265)",0.2647943716084415,2.726589440387774
14314,Daiki,SANO,"N(mu=2.705, sigma=0.418)",0.4181968046362454,2.704955520857806
2255,Tsukuru,HORI,"N(mu=2.685, sigma=0.178)",0.17767325131175615,2.6851762114106146
1256,Nicolai,UZNIK,"N(mu=2.679, sigma=0.246)",0.24584974115165548,2.6790233019367538
486,Alban,LEVIER,"N(mu=2.671, sigma=0.202)",0.2017642128072828,2.6713939973277183
490,Manuel,CORNU,"N(mu=2.667, sigma=0.191)",0.19051011048953947,2.667334186922871
4465,Salavat,RAKHMETOV,"N(mu=2.663, sigma=0.721)",0.7211606844873572,2.6627314759566287
8958,Arthur,TERNANT,"N(mu=2.658, sigma=1.014)",1.0137224364010666,2.6578645907680465
2265,Keita,WATABE,"N(mu=2.649, sigma=0.206)",0.20623660214318884,2.648543975555577
4866,Victor,KOZLOV,"N(mu=2.646, sigma=0.425)",0.42533498819519455,2.646270310782413
2348,Yuji,INOUE,"N(mu=2.630, sigma=0.208)",0.20754806954390428,2.630141852030499
4774,Stewart,WATSON,"N(mu=2.608, sigma=0.222)",0.221539814753555,2.6077279460120786
441,Thomas,CALEYRON,"N(mu=2.601, sigma=0.201)",0.20097112039492543,2.600863241379475
1124,Jernej,KRUDER,"N(mu=2.601, sigma=0.175)",0.17534620917349308,2.6008026452946638
4773,Loïc,GAIDIOZ,"N(mu=2.560, sigma=0.211)",0.2108411600513736,2.559701568998802
2334,Keita,DOHI,"N(mu=2.558, sigma=0.245)",0.24539015003595982,2.5580278184519494
11535,Mathieu,TERNANT,"N(mu=2.551, sigma=0.362)",0.362289594423245,2.551166646404999
1929,Colin,DUFFY,"N(mu=2.523, sigma=0.259)",0.2591464183369398,2.5229567613700765
4776,Mykhaylo,SHALAGIN,"N(mu=2.515, sigma=0.206)",0.20633583181461776,2.5146848257126546
5989,Julian,BAUTISTA,"N(mu=2.505, sigma=0.728)",0.7284920285062944,2.505450579996681
3577,Jorg,VERHOEVEN,"N(mu=2.479, sigma=0.187)",0.187172179745433,2.478687017554176
2271,Naoki,SHIMATANI,"N(mu=2.465, sigma=0.728)",0.7284126432370996,2.464851912246276
4716,Klemen,BECAN,"N(mu=2.457, sigma=0.191)",0.19090293809057934,2.4566901859456562
696,Hamish,MCARTHUR,"N(mu=2.456, sigma=0.300)",0.2997764555665996,2.455942027535316
1741,Sean,BAILEY,"N(mu=2.453, sigma=0.208)",0.20780572620880666,2.4533925659861646
532,Sam,AVEZOU,"N(mu=2.434, sigma=0.289)",0.28934380826399525,2.434238591332293
4781,Francois,KAISER,"N(mu=2.429, sigma=0.246)",0.2460663392961408,2.4285123699898
3111,David,FIRNENBURG,"N(mu=2.409, sigma=0.263)",0.2634033445985062,2.4085633803583972
5869,Tatsuya,MURAOKA,"N(mu=2.399, sigma=0.598)",0.597660602048706,2.3993863051585924
4726,Matthias,MÜLLER,"N(mu=2.398, sigma=0.291)",0.2911146003114677,2.397562985245026
373,Hannes,VAN DUYSEN,"N(mu=2.376, sigma=0.328)",0.32815926876518675,2.375982856216117
487,Nicolas,PELORSON,"N(mu=2.373, sigma=0.386)",0.3864549386012333,2.37349787319793
4778,Lucas,PRETI,"N(mu=2.361, sigma=0.232)",0.23214162013867332,2.3609601926035415
574,Leo,FAVOT,"N(mu=2.357, sigma=0.716)",0.7157190437136535,2.3570319241221593
2482,James,KASSAY,"N(mu=2.340, sigma=0.225)",0.22462601680582317,2.3404098015793844
2301,Yuki,HADA,"N(mu=2.335, sigma=0.388)",0.38753552491759385,2.334628981439814
