,firstname,lastname,current,sigma,mu
1147,Janja,GARNBRET,"N(mu=6.070, sigma=0.291)",0.29066025370799,6.06975059871834
2253,Akiyo,NOGUCHI,"N(mu=4.797, sigma=0.187)",0.18684685398415873,4.796793943589514
636,Shauna,COXSEY,"N(mu=4.700, sigma=0.197)",0.19660538847218115,4.699933175483053
1211,Anna,STÖHR,"N(mu=4.519, sigma=0.188)",0.18827127994449963,4.519317828831427
1803,Natalia,GROSSMAN,"N(mu=4.384, sigma=0.259)",0.25947290203787815,4.384312083501975
2294,Miho,NONAKA,"N(mu=4.276, sigma=0.189)",0.18943826679967096,4.275630828989327
1710,Alex,PUCCIO,"N(mu=4.174, sigma=0.199)",0.19910588426062298,4.17381254229561
11462,Oriane,BERTONE,"N(mu=3.922, sigma=0.288)",0.2880339683033973,3.9223325723098585
2823,Juliane,WURM,"N(mu=3.770, sigma=0.194)",0.19400443375341858,3.7702084611409172
1119,Natalija,GROS,"N(mu=3.621, sigma=0.243)",0.24260165933096728,3.621400081798064
454,Melissa,LE NEVE,"N(mu=3.483, sigma=0.186)",0.18595414451729336,3.4832159887382765
43,Yulia,ABRAMCHUK,"N(mu=3.482, sigma=0.239)",0.23855522484061667,3.4823441425177575
1768,Megan,MASCARENAS,"N(mu=3.470, sigma=0.292)",0.29162240454951655,3.4696225694078424
309,Chloé,GRAFTIAUX,"N(mu=3.379, sigma=0.253)",0.25301687888583907,3.3791924546969425
1811,Brooke,RABOUTOU,"N(mu=3.361, sigma=0.227)",0.22696242255260435,3.3611752561975377
5280,Juliette,DANION,"N(mu=3.339, sigma=0.526)",0.5256182002018827,3.3389973137545046
3840,Stasa,GEJO,"N(mu=3.337, sigma=0.198)",0.19757162003097029,3.3367023039069523
1712,Sasha,DIGIULIAN,"N(mu=3.337, sigma=0.754)",0.7538945149004137,3.336639889792346
430,Sandrine,LEVET,"N(mu=3.294, sigma=0.745)",0.7445822068761865,3.294259772742167
2357,Futaba,ITO,"N(mu=3.280, sigma=0.215)",0.214824353902974,3.2798428851858703
6237,Therese,JOHANSEN,"N(mu=3.268, sigma=0.595)",0.5954688391665736,3.2682945947469313
469,Fanny,GIBERT,"N(mu=3.250, sigma=0.183)",0.18272611517260756,3.2503122071690673
2263,Momoka,ODA,"N(mu=3.231, sigma=0.233)",0.23327333177817408,3.231393482083759
11620,Luce,DOUADY,"N(mu=3.224, sigma=0.734)",0.73436481571171,3.2240445432540343
13021,Anastasia,SANDERS,"N(mu=3.202, sigma=0.422)",0.42237274844815437,3.201743681695855
4756,Olga,SHALAGINA,"N(mu=3.198, sigma=0.250)",0.25027388887619284,3.197634174550929
12348,Martina,BURŠÍKOVÁ,"N(mu=3.192, sigma=0.721)",0.7205026444528017,3.192153710542684
2380,Ai,MORI,"N(mu=3.151, sigma=0.369)",0.3691379989413098,3.1506702905872706
1226,Jessica,PILZ,"N(mu=3.144, sigma=0.210)",0.20960203954743528,3.143905193743929
4755,Alex,JOHNSON,"N(mu=3.104, sigma=0.214)",0.21404544823163446,3.1035485323990506
1122,Mina,MARKOVIC,"N(mu=3.093, sigma=0.194)",0.19393185472450258,3.0932680309529768
1219,Johanna,ERNST,"N(mu=2.999, sigma=0.424)",0.4243276532976489,2.9985107127207877
58,Yana,CHERESHNEVA,"N(mu=2.899, sigma=0.269)",0.268851505745546,2.8994970905080364
12451,Selma,ELHADJ MIMOUNE,"N(mu=2.899, sigma=0.419)",0.41921362751043323,2.899473186922641
947,Camilla,MORONI,"N(mu=2.884, sigma=0.253)",0.25259123286262886,2.884238609584386
3246,Petra,KLINGLER,"N(mu=2.867, sigma=0.178)",0.17765740875718788,2.8674188681611454
446,Marine,THÉVENET,"N(mu=2.845, sigma=0.276)",0.2758640870035155,2.845184616935531
13596,Zhilu,LUO,"N(mu=2.834, sigma=0.346)",0.3462579140046629,2.834167997260524
41,Olga,BIBIK,"N(mu=2.810, sigma=0.234)",0.23404634757057236,2.8095030985454534
1209,Katharina,SAURWEIN,"N(mu=2.796, sigma=0.179)",0.1788496863050057,2.7959770474893695
4761,Anna,GALLYAMOVA,"N(mu=2.769, sigma=0.220)",0.22036261664860646,2.7690300035956334
2080,Chaehyun,SEO,"N(mu=2.764, sigma=0.283)",0.28250739897538035,2.764154744815748
4017,Ayala,KEREM,"N(mu=2.757, sigma=0.266)",0.2661361761438636,2.7566427699364837
2664,Angelica,LIND,"N(mu=2.756, sigma=0.309)",0.3090460343567457,2.756091898246166
445,Charlotte,DURIF,"N(mu=2.738, sigma=0.371)",0.371301454135663,2.7383066049628604
1160,Lucka,RAKOVEC,"N(mu=2.724, sigma=0.302)",0.301836563423439,2.724400848371159
1120,Katja,VIDMAR,"N(mu=2.718, sigma=0.262)",0.26224121682383383,2.7180513361862015
4757,Maud,ANSADE,"N(mu=2.674, sigma=0.262)",0.26194556110315836,2.6744697103340034
14008,Melody,SEKIKAWA,"N(mu=2.667, sigma=0.418)",0.4180024038257125,2.666960468230981
5788,Therese,JOHANNESEN,"N(mu=2.647, sigma=0.424)",0.4241802102472385,2.647040303932653
13992,Mashiro,KUZUU,"N(mu=2.628, sigma=1.003)",1.0034893785521701,2.627623091891096
2035,Jain,KIM,"N(mu=2.612, sigma=0.195)",0.19513759131116792,2.6115844108352873
1130,Katja,DEBEVEC,"N(mu=2.605, sigma=0.190)",0.189587877110231,2.6047322875109935
439,Anne-Laure,CHEVRIER,"N(mu=2.600, sigma=0.198)",0.19827946926027376,2.6003865724298922
5879,Angela,PAYNE,"N(mu=2.561, sigma=0.285)",0.28522580843170203,2.5610934067396363
44,Olga,IAKOVLEVA,"N(mu=2.542, sigma=0.284)",0.28355245902879544,2.541744207104935
848,Jenny,LAVARDA,"N(mu=2.538, sigma=0.217)",0.2167019156753492,2.537572197662923
4758,Alexandra,BALAKIREVA,"N(mu=2.533, sigma=0.256)",0.2555746167548898,2.532728021892654
2501,Oceania,MACKENZIE,"N(mu=2.520, sigma=0.258)",0.2578469562792772,2.5202275706341415
635,Michaela,TRACY,"N(mu=2.495, sigma=0.229)",0.2294779772629208,2.495230798953076
5777,Anne,HOARAU,"N(mu=2.468, sigma=1.052)",1.0524211668406271,2.4684931679957662
427,Cecile,AVEZOU,"N(mu=2.464, sigma=0.202)",0.20216374187903208,2.4644929418213906
620,Zélia,AVEZOU,"N(mu=2.434, sigma=0.391)",0.39051197152323464,2.4339505156183807
13321,Mia,AOYAGI,"N(mu=2.429, sigma=0.313)",0.3129446397879298,2.4287951600446895
2013,Monika,RETSCHY,"N(mu=2.412, sigma=0.187)",0.18669897718770526,2.4120772070546
6177,Ana,TIRIPA,"N(mu=2.371, sigma=1.011)",1.0107547373173975,2.3709738654302903
1358,Helena,LIPENSKA,"N(mu=2.365, sigma=0.726)",0.7262453808685878,2.364723776294182
1486,Ievgeniia,KAZBEKOVA,"N(mu=2.357, sigma=0.208)",0.20785414463960852,2.357162821890868
2047,Sol,SA,"N(mu=2.347, sigma=0.183)",0.18293609985526874,2.3471636627291756
1161,Mia,KRAMPL,"N(mu=2.343, sigma=0.264)",0.26399889523110787,2.343007919936901
