event,league_season_id,location,event_id,cup_name,cup_id,custom_cup_ids,url,registration_url,infosheet_url,additional_info_url,starts_at,ends_at,local_start_date,local_end_date,timezone,disciplines
IFSC Europe - Continental Cup (B) - Klagenfurt (AUT) 2021,393,Klagenfurt,1205,IFSC Climbing European Cup 2021,68.0,[],/api/v1/events/1205,/api/v1/events/1205/registrations,/events/1205/infosheet,,2021-04-09 22:00:00 UTC,2021-04-11 21:59:00 UTC,2021-04-10,2021-04-11,{'value': 'Europe/Vienna'},"[{'id': 1408, 'kind': 'boulder', 'event_id': 1205, 'created_at': '2021-01-14T08:48:59.000Z', 'updated_at': '2021-01-14T08:48:59.000Z', 'settings': None}]"
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,388,Meiringen,1187,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1187,/api/v1/events/1187/registrations,/events/1187/infosheet,,2021-04-15 22:00:00 UTC,2021-04-17 21:59:00 UTC,2021-04-16,2021-04-17,{'value': 'Europe/Zurich'},"[{'id': 1382, 'kind': 'boulder', 'event_id': 1187, 'created_at': '2020-09-03T08:39:08.000Z', 'updated_at': '2021-03-23T08:47:47.000Z', 'settings': None}]"
"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",402,Perm,1221,,,[74],/api/v1/events/1221,/api/v1/events/1221/registrations,/events/1221/infosheet,,2021-04-30 21:00:00 UTC,2021-05-05 20:59:00 UTC,2021-05-01,2021-05-05,{'value': 'Europe/Moscow'},"[{'id': 1429, 'kind': 'lead', 'event_id': 1221, 'created_at': '2021-01-14T10:01:51.000Z', 'updated_at': '2021-01-14T10:01:51.000Z', 'settings': None}, {'id': 1430, 'kind': 'speed', 'event_id': 1221, 'created_at': '2021-01-14T10:01:53.000Z', 'updated_at': '2021-01-14T10:01:53.000Z', 'settings': None}, {'id': 1431, 'kind': 'boulder', 'event_id': 1221, 'created_at': '2021-01-14T10:01:54.000Z', 'updated_at': '2021-01-14T10:01:54.000Z', 'settings': None}, {'id': 1441, 'kind': 'combined', 'event_id': 1221, 'created_at': '2021-09-09T13:23:27.000Z', 'updated_at': '2021-09-09T13:23:27.000Z', 'settings': None}]"
IFSC Europe - Continental Youth Cup (B) - Graz (AUT) 2021,402,Graz,1213,,,[74],/api/v1/events/1213,/api/v1/events/1213/registrations,/events/1213/infosheet,,2021-05-13 22:00:00 UTC,2021-05-16 21:59:00 UTC,2021-05-14,2021-05-16,{'value': 'Europe/Vienna'},"[{'id': 1418, 'kind': 'boulder', 'event_id': 1213, 'created_at': '2021-01-14T09:46:16.000Z', 'updated_at': '2021-05-12T12:59:57.000Z', 'settings': None}]"
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,388,Salt Lake City,1190,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1190,/api/v1/events/1190/registrations,/events/1190/infosheet,,2021-05-21 06:00:00 UTC,2021-05-23 05:59:00 UTC,2021-05-21,2021-05-22,{'value': 'America/Denver'},"[{'id': 1387, 'kind': 'boulder', 'event_id': 1190, 'created_at': '2020-09-03T08:49:46.000Z', 'updated_at': '2020-09-03T08:49:46.000Z', 'settings': None}]"
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",388,Salt Lake City,1192,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1192,/api/v1/events/1192/registrations,/events/1192/infosheet,,2021-05-28 06:00:00 UTC,2021-05-31 05:59:00 UTC,2021-05-28,2021-05-30,{'value': 'America/Denver'},"[{'id': 1388, 'kind': 'boulder', 'event_id': 1192, 'created_at': '2020-09-03T08:59:26.000Z', 'updated_at': '2021-04-22T12:59:45.000Z', 'settings': None}, {'id': 1389, 'kind': 'speed', 'event_id': 1192, 'created_at': '2020-09-03T08:59:28.000Z', 'updated_at': '2021-04-22T13:00:25.000Z', 'settings': None}]"
IFSC Europe - Continental Cup (B) - Belgrad (SRB) 2021 - CANCELLED,393,Belgrad,1206,IFSC Climbing European Cup 2021,68.0,[],/api/v1/events/1206,/api/v1/events/1206/registrations,,,2021-05-28 22:00:00 UTC,2021-05-30 21:59:00 UTC,2021-05-29,2021-05-30,{'value': 'Europe/Belgrade'},"[{'id': 1409, 'kind': 'boulder', 'event_id': 1206, 'created_at': '2021-01-14T08:51:14.000Z', 'updated_at': '2021-01-14T08:51:14.000Z', 'settings': None}]"
IFSC Europe - Continental Youth Cup (S) - Bochum (GER) 2021,402,Bochum,1214,,,[75],/api/v1/events/1214,/api/v1/events/1214/registrations,/events/1214/infosheet,,2021-06-03 22:00:00 UTC,2021-06-04 21:59:00 UTC,2021-06-04,2021-06-04,{'value': 'Europe/Berlin'},"[{'id': 1419, 'kind': 'speed', 'event_id': 1214, 'created_at': '2021-01-14T09:48:01.000Z', 'updated_at': '2021-01-14T09:48:01.000Z', 'settings': None}]"
"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2021",402,Imst,1215,,,"[73, 75]",/api/v1/events/1215,/api/v1/events/1215/registrations,/events/1215/infosheet,,2021-06-10 22:00:00 UTC,2021-06-13 21:59:00 UTC,2021-06-11,2021-06-13,{'value': 'Europe/Vienna'},"[{'id': 1420, 'kind': 'lead', 'event_id': 1215, 'created_at': '2021-01-14T09:49:05.000Z', 'updated_at': '2021-01-14T09:49:05.000Z', 'settings': None}, {'id': 1421, 'kind': 'speed', 'event_id': 1215, 'created_at': '2021-01-14T09:49:07.000Z', 'updated_at': '2021-01-14T09:49:07.000Z', 'settings': None}]"
IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),402,Ostermundigen,1216,,,[73],/api/v1/events/1216,/api/v1/events/1216/registrations,/events/1216/infosheet,,2021-06-18 22:00:00 UTC,2021-06-20 21:59:00 UTC,2021-06-19,2021-06-20,{'value': 'Europe/Zurich'},"[{'id': 1422, 'kind': 'lead', 'event_id': 1216, 'created_at': '2021-01-14T09:51:22.000Z', 'updated_at': '2021-01-14T09:51:22.000Z', 'settings': None}]"
IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,403,Innsbruck,1222,IFSC Paraclimbing Cup,71.0,[],/api/v1/events/1222,/api/v1/events/1222/registrations,,,2021-06-21 22:00:00 UTC,2021-06-24 21:59:00 UTC,2021-06-22,2021-06-24,{'value': 'Europe/Vienna'},"[{'id': 1432, 'kind': 'lead', 'event_id': 1222, 'created_at': '2021-04-22T15:48:02.000Z', 'updated_at': '2021-04-22T15:48:02.000Z', 'settings': None}]"
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",388,Innsbruck,1193,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1193,/api/v1/events/1193/registrations,,,2021-06-22 22:00:00 UTC,2021-06-26 21:59:00 UTC,2021-06-23,2021-06-26,{'value': 'Europe/Vienna'},"[{'id': 1390, 'kind': 'lead', 'event_id': 1193, 'created_at': '2020-09-03T09:02:43.000Z', 'updated_at': '2020-09-03T09:02:43.000Z', 'settings': None}, {'id': 1391, 'kind': 'boulder', 'event_id': 1193, 'created_at': '2020-09-03T09:02:45.000Z', 'updated_at': '2020-09-03T09:02:45.000Z', 'settings': None}]"
